,Reaction,EC value,Method,Evaluation,Reaction.1,Reaction formula in CID format,order,order id,Reaction formula in python dictionary,T(K),pH,Ionic strength,pMg,K',electrolytes,Buffer/reagents/solute added,Reference_id,media conditions,exclude,reaction_id
1652,mannose isomerase,5.3.1.7,chemical analysis and polarimetry,B,D-mannose(aq) = D-fructose(aq),CHB_4208 = CHB_37721,1653,Keq_1653,"{'CHB_4208': -1, 'CHB_37721': 1}",279.15,7.0,,,3.1,,phosphate (0.05 mol dm-3),67TAK2,mol/L;phosphate buffer=0.05,no,rxn_161
1653,mannose isomerase,5.3.1.7,chemical analysis and polarimetry,B,D-mannose(aq) = D-fructose(aq),CHB_4208 = CHB_37721,1654,Keq_1654,"{'CHB_4208': -1, 'CHB_37721': 1}",284.15,7.0,,,3.0,,phosphate (0.05 mol dm-3),67TAK2,mol/L;phosphate buffer=0.05,no,rxn_161
1654,mannose isomerase,5.3.1.7,chemical analysis and polarimetry,B,D-mannose(aq) = D-fructose(aq),CHB_4208 = CHB_37721,1655,Keq_1655,"{'CHB_4208': -1, 'CHB_37721': 1}",298.15,7.0,,,3.0,,phosphate (0.05 mol dm-3),67TAK2,mol/L;phosphate buffer=0.05,no,rxn_161
1655,mannose isomerase,5.3.1.7,chemical analysis and polarimetry,B,D-mannose(aq) = D-fructose(aq),CHB_4208 = CHB_37721,1656,Keq_1656,"{'CHB_4208': -1, 'CHB_37721': 1}",308.15,7.0,,,2.9,,phosphate (0.05 mol dm-3),67TAK2,mol/L;phosphate buffer=0.05,no,rxn_161
1656,mannose isomerase,5.3.1.7,chemical analysis and polarimetry,B,D-mannose(aq) = D-fructose(aq),CHB_4208 = CHB_37721,1657,Keq_1657,"{'CHB_4208': -1, 'CHB_37721': 1}",313.15,7.0,,,3.0,,phosphate (0.05 mol dm-3),67TAK2,mol/L;phosphate buffer=0.05,no,rxn_161
1657,ureidoglycolate lyase,4.3.2.3,polarimetry,B,(-)-ureidoglycolate(aq) = glyoxylate(aq) + urea(aq),CHB_15412 = CHB_16199 + CHB_16891,1658,Keq_1658,"{'CHB_16891': 1, 'CHB_16199': 1, 'CHB_15412': -1}",303.15,7.5,,,0.135135,,triethanolamine (0.07 mol dm-3) + HCl,67TRI/VOG,mol/L;triethanolamine-HCl=0.07;(Zn)1(SO4)1=0.01;glyoxylate=0.06;urea=0.06;(-)-ureidoglycolate=0.027;(Na)1=0.067,no,rxn_288
1658,allantoicase,3.5.3.4,polarimetry,B,allantoate(aq) + H2O(l) = (-)-ureidoglycolate(aq) + urea(aq),CHB_15377 + CHB_17536 = CHB_15412 + CHB_16199,1659,Keq_1659,"{'CHB_15412': 1, 'CHB_17536': -1, 'CHB_16199': 1, 'CHB_15377': -1}",303.15,7.5,,,0.206897,,triethanolamine (0.087 mol dm-3) + HCl,67TRI/VOG,mol/L;triethanolamine-HCl=0.085;(-)-ureidoglycolate=0.106;allantoate=0;urea=1,no,rxn_327
1659,methylenetetrahydrofolate dehydrogenase (NADP+),1.5.1.5,spectrophotometry,B,"5,10-methylenetetrahydrofolate(aq) + NADP(aq) = 5,10-methenyltetrahydrofolate(aq) + NADPH(aq)",CHB_18009 + CHB_1989 = CHB_15638 + CHB_16474,1660,Keq_1660,"{'CHB_15638': 1, 'CHB_16474': 1, 'CHB_18009': -1, 'CHB_1989': -1}",298.15,6.9,,,0.14,,potassium maleate (0.05 mol dm-3),67UYE/RAB,mol/L;potassium maleate buffer=0.05;2-mercaptoethanol=0.02,no,rxn_328
1660,histidine ammonia-lyase,4.3.1.3,spectrophotometry,C,L-histidine(aq) = urocanate(aq) + ammonia(aq),CHB_15971 = CHB_16134 + CHB_27247,1661,Keq_1661,"{'CHB_16134': 1, 'CHB_15971': -1, 'CHB_27247': 1}",298.15,8.0,,,2.925,,Tris (0.033 mol dm-3) + acetate,67WIL/HIR,mol/L;Tris-acetate=0.033;(Mg)1(SO4)1=0.001;EDTA=0.000033;2-mercaptoethanol=0.00067;L-histidine=0.005;ammonia=0.195;urocanate=0.075,no,rxn_329
1661,L-lactate dehydrogenase,1.1.1.27,spectrophotometry,A,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,1662,Keq_1662,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16651': -1, 'CHB_15361': 1}",311.15,7.0,0.258,,0.000111,,phosphate (0.012 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.258,no,rxn_52
1662,L-lactate dehydrogenase,1.1.1.27,spectrophotometry,A,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,1663,Keq_1663,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16651': -1, 'CHB_15361': 1}",311.15,7.0,0.138,,0.0001023,,phosphate (0.012 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.138,no,rxn_52
1663,L-lactate dehydrogenase,1.1.1.27,spectrophotometry,A,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,1664,Keq_1664,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16651': -1, 'CHB_15361': 1}",311.15,7.0,0.077,,9.67e-05,,phosphate (0.012 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.077,no,rxn_52
1664,L-lactate dehydrogenase,1.1.1.27,spectrophotometry,A,(S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),CHB_15846 + CHB_16651 = CHB_15361 + CHB_16908,1665,Keq_1665,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_16651': -1, 'CHB_15361': 1}",311.15,7.0,0.045,,9.36e-05,,phosphate (0.012 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.045,no,rxn_52
1665,3-hydroxybutyrate dehydrogenase,1.1.1.30,spectrophotometry,A,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),CHB_10983 + CHB_15846 = CHB_13705 + CHB_16908,1666,Keq_1666,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_10983': -1, 'CHB_13705': 1}",311.15,7.0,0.255,,0.0494,,phosphate (0.0125 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.255,no,rxn_102
1666,3-hydroxybutyrate dehydrogenase,1.1.1.30,spectrophotometry,A,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),CHB_10983 + CHB_15846 = CHB_13705 + CHB_16908,1667,Keq_1667,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_10983': -1, 'CHB_13705': 1}",311.15,7.04,0.134,,0.0526,,phosphate (0.0125 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.134,no,rxn_102
1667,3-hydroxybutyrate dehydrogenase,1.1.1.30,spectrophotometry,A,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),CHB_10983 + CHB_15846 = CHB_13705 + CHB_16908,1668,Keq_1668,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_10983': -1, 'CHB_13705': 1}",311.15,7.09,0.073,,0.0561,,phosphate (0.0125 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.073,no,rxn_102
1668,3-hydroxybutyrate dehydrogenase,1.1.1.30,spectrophotometry,A,(R)-3-hydroxybutanoate(aq) + NAD(aq) = 3-oxobutanoate(aq) + NADH(aq),CHB_10983 + CHB_15846 = CHB_13705 + CHB_16908,1669,Keq_1669,"{'CHB_16908': 1, 'CHB_15846': -1, 'CHB_10983': -1, 'CHB_13705': 1}",311.15,7.1,0.042,,0.0482,,phosphate (0.0125 mol dm-3 to 0.10 mol dm-3),67WIL/LUN,mol/L;IS=0.042,no,rxn_102
1669,malate dehydrogenase,1.1.1.37,spectrophotometry,B,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),CHB_15589 + CHB_15846 = CHB_16452 + CHB_16908,1670,Keq_1670,"{'CHB_16908': 1, 'CHB_16452': 1, 'CHB_15846': -1, 'CHB_15589': -1}",311.15,7.0,0.25,,2.78e-05,,phosphate,67WIL/LUN,mol/L;IS=0.25,no,rxn_53
1670,glutamate dehydrogenase,1.4.1.2,spectrophotometry,A,L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),CHB_15377 + CHB_15846 + CHB_29985 = CHB_16134 + CHB_16810 + CHB_16908,1671,Keq_1671,"{'CHB_16810': 1, 'CHB_16908': 1, 'CHB_16134': 1, 'CHB_29985': -1, 'CHB_15846': -1, 'CHB_15377': -1}",311.15,7.0,0.25,,3.87e-06,,phosphate,67WIL/LUN,mol/L;IS=0.25,no,rxn_55
1671,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1672,Keq_1672,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.23,,,191.0,,ammonia + HCl,67WOL,,no,rxn_330
1672,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1673,Keq_1673,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,8.88,,,212.0,,ammonia + HCl,67WOL,,no,rxn_330
1673,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1674,Keq_1674,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.16,,,242.0,,ammonia + HCl,67WOL,,no,rxn_330
1674,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1675,Keq_1675,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,8.52,,,255.0,,ammonia + HCl,67WOL,,no,rxn_330
1675,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1676,Keq_1676,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.16,,,267.0,,ammonia + HCl,67WOL,,no,rxn_330
1676,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1677,Keq_1677,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.71,,,302.0,,ammonia + HCl,67WOL,,no,rxn_330
1677,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1678,Keq_1678,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.16,,,318.0,,ammonia + HCl,67WOL,,no,rxn_330
1678,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1679,Keq_1679,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.16,,,345.0,,ammonia + HCl,67WOL,,no,rxn_330
1679,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1680,Keq_1680,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.13,,,352.0,,ammonia + HCl,67WOL,,no,rxn_330
1680,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1681,Keq_1681,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,8.12,,,587.0,,ammonia + HCl,67WOL,,no,rxn_330
1681,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1682,Keq_1682,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,10.18,,,908.0,,ammonia + HCl,67WOL,,no,rxn_330
1682,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1683,Keq_1683,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,7.5,,,1175.0,,ammonia + HCl,67WOL,,no,rxn_330
1683,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1684,Keq_1684,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,9.32,,,1321.0,,ammonia + HCl,67WOL,,no,rxn_330
1684,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1685,Keq_1685,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,6.5,,,2231.0,,ammonia + HCl,67WOL,,no,rxn_330
1685,adenosine deaminase,3.5.4.4,radioactivity,B,adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),CHB_15377 + CHB_16335 = CHB_16134 + CHB_17596,1686,Keq_1686,"{'CHB_16134': 1, 'CHB_16335': -1, 'CHB_15377': -1, 'CHB_17596': 1}",298.15,6.53,,,8333.0,,ammonia + HCl,67WOL,,no,rxn_330
1686,carnitine dehydrogenase,1.1.1.108,spectrophotometry,B,L-carnitine(aq) + NAD(aq) = 3-dehydrocarnitine(aq) + NADH(aq),CHB_15846 + CHB_16347 = CHB_16758 + CHB_16908,1687,Keq_1687,"{'CHB_16758': 1, 'CHB_16347': -1, 'CHB_16908': 1, 'CHB_15846': -1}",303.15,8.0,,,0.0013,,Tris (0.05 mol dm-3) + HCl,68AUR/KLE,mol/L;Tris-HCl=0.05,no,rxn_331
1687,carnitine dehydrogenase,1.1.1.108,spectrophotometry,B,L-carnitine(aq) + NAD(aq) = 3-dehydrocarnitine(aq) + NADH(aq),CHB_15846 + CHB_16347 = CHB_16758 + CHB_16908,1688,Keq_1688,"{'CHB_16758': 1, 'CHB_16347': -1, 'CHB_16908': 1, 'CHB_15846': -1}",303.15,7.0,,,0.00013,,Tris (0.05 mol dm-3) + HCl,68AUR/KLE,mol/L;Tris-HCl=0.05,no,rxn_331
1688,carnitine dehydrogenase,1.1.1.108,spectrophotometry,B,L-carnitine(aq) + NAD(aq) = 3-dehydrocarnitine(aq) + NADH(aq),CHB_15846 + CHB_16347 = CHB_16758 + CHB_16908,1689,Keq_1689,"{'CHB_16758': 1, 'CHB_16347': -1, 'CHB_16908': 1, 'CHB_15846': -1}",303.15,9.0,,,0.013,,Tris (0.05 mol dm-3) + HCl,68AUR/KLE,mol/L;Tris-HCl=0.05,no,rxn_331
1689,glucose dehydrogenase (NADP+),1.1.1.119,spectrophotometry,C,"D-glucose(aq) + NADP(aq) = D-glucono-1,5-lactone(aq) + NADPH(aq)",CHB_18009 + CHB_4167 = CHB_16217 + CHB_16474,1690,Keq_1690,"{'CHB_4167': -1, 'CHB_16217': 1, 'CHB_16474': 1, 'CHB_18009': -1}",303.15,6.13,,,0.296772,,phosphate (0.1 mol dm-3),68AVI/ALR,mol/L;phosphate buffer=0.1,no,rxn_292
1690,glucose dehydrogenase (NADP+),1.1.1.119,spectrophotometry,C,"D-glucose(aq) + NADP(aq) = D-glucono-1,5-lactone(aq) + NADPH(aq)",CHB_18009 + CHB_4167 = CHB_16217 + CHB_16474,1691,Keq_1691,"{'CHB_4167': -1, 'CHB_16217': 1, 'CHB_16474': 1, 'CHB_18009': -1}",303.15,6.55,,,1.12831,,phosphate (0.1 mol dm-3),68AVI/ALR,mol/L;phosphate buffer=0.1,no,rxn_292
1691,glucose dehydrogenase (NADP+),1.1.1.119,spectrophotometry,C,"D-glucose(aq) + NADP(aq) = D-glucono-1,5-lactone(aq) + NADPH(aq)",CHB_18009 + CHB_4167 = CHB_16217 + CHB_16474,1692,Keq_1692,"{'CHB_4167': -1, 'CHB_16217': 1, 'CHB_16474': 1, 'CHB_18009': -1}",303.15,6.93,,,3.52371,,phosphate (0.1 mol dm-3),68AVI/ALR,mol/L;phosphate buffer=0.1,no,rxn_292
1692,pyridoxamine-pyruvate transaminase,2.6.1.30,spectrophotometry,C,pyridoxamine(aq) + pyruvate(aq) = pyridoxal(aq) + L-alanine(aq),CHB_15361 + CHB_16410 = CHB_16977 + CHB_17310,1693,Keq_1693,"{'CHB_17310': 1, 'CHB_15361': -1, 'CHB_16410': -1, 'CHB_16977': 1}",298.15,8.85,,,1.21,,sodium pyrophosphate (0.05 mol dm-3),68AYL/SNE,mol/L;sodium pyrophosphate buffer=0.05,no,rxn_332
1693,pyridoxamine-pyruvate transaminase,2.6.1.30,spectrophotometry,B,o-methylpyridoxamine(aq) + pyruvate(aq) =o-methylpyridoxal(aq) + L-alanine(aq),CHB_15361 + MAN_10134 = CHB_16977 + MAN_10135,1694,Keq_1694,"{'CHB_15361': -1, 'MAN_10135': 1, 'CHB_16977': 1, 'MAN_10134': -1}",298.15,8.85,,,1.26,,sodium pyrophosphate (0.05 mol dm-3),68AYL/SNE2,mol/L;sodium pyrophosphate buffer=0.05,no,rxn_333
1694,pyridoxamine-pyruvate transaminase,2.6.1.30,spectrophotometry,B,5-deoxypyridoxamine(aq) + pyruvate(aq) = 5-deoxypyridoxal(aq) + L-alanine(aq),CHB_15361 + PBC_12486188 = CHB_16977 + PBC_164889,1695,Keq_1695,"{'PBC_164889': 1, 'CHB_15361': -1, 'CHB_16977': 1, 'PBC_12486188': -1}",298.15,8.85,,,0.17,,sodium pyrophosphate (0.05 mol dm-3),68AYL/SNE2,mol/L;sodium pyrophosphate buffer=0.05,no,rxn_334
1695,pyridoxamine-pyruvate transaminase,2.6.1.30,spectrophotometry,B,norpyridoxamine(aq) + pyruvate(aq) = norpyridoxal(aq) + L-alanine(aq),CHB_15361 + MAN_10058 = CHB_16977 + MAN_10057,1696,Keq_1696,"{'MAN_10057': 1, 'CHB_15361': -1, 'CHB_16977': 1, 'MAN_10058': -1}",298.15,8.85,,,1.96,,sodium pyrophosphate (0.05 mol dm-3),68AYL/SNE2,mol/L;sodium pyrophosphate buffer=0.05,no,rxn_335
1696,pyridoxamine-pyruvate transaminase,2.6.1.30,spectrophotometry,B,3-hydroxy-4-aminomethylpyridine(aq) + pyruvate(aq) = 3-hydroxypyridine-4-aldehyde(aq) + L-alanine(aq),CHB_15361 + PBC_15850356 = CHB_16977 + MAN_10062,1697,Keq_1697,"{'MAN_10062': 1, 'CHB_15361': -1, 'PBC_15850356': -1, 'CHB_16977': 1}",298.15,8.85,,,0.7,,sodium pyrophosphate (0.05 mol dm-3),68AYL/SNE2,mol/L;sodium pyrophosphate buffer=0.05,no,rxn_336
1697,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1698,Keq_1698,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",278.05,7.0,0.1,,0.00215,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1698,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1699,Keq_1699,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",288.45,7.0,0.1,,0.00307,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1699,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1700,Keq_1700,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",300.55,7.0,0.1,,0.00511,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1700,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1701,Keq_1701,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.7,0.1,,0.0064,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1701,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1702,Keq_1702,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.1,,0.0067,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1702,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1703,Keq_1703,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.1,,0.0067,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1703,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1704,Keq_1704,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.1,,0.00673,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1704,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1705,Keq_1705,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,5.7,0.1,,0.0071,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.1,,rxn_36
1705,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1706,Keq_1706,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.3,,0.0091,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.3,,rxn_36
1706,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1707,Keq_1707,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.52,,0.0098,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.52,,rxn_36
1707,aspartate ammonia-lyase,4.3.1.1,"amino acid analysis, Conway diffusion, and UV absorption",A,L-aspartate(aq) = fumarate(aq) + ammonia(aq),CHB_29991 = CHB_16134 + CHB_29806,1708,Keq_1708,"{'CHB_16134': 1, 'CHB_29991': -1, 'CHB_29806': 1}",309.45,7.0,0.73,,0.0098,,"Hepes, Mes, Tris, and phosphate",68BAD/MIL,mol/kg;IS=0.73,,rxn_36
1708,adenylate kinase,2.7.4.3,chromatography and radioactivity,D,2 ADP(aq) = AMP(aq) + ATP(aq),2 CHB_16761 = CHB_15422 + CHB_16027,1709,Keq_1709,"{'CHB_15422': 1, 'CHB_16761': -2.0, 'CHB_16027': 1}",298.15,,,,0.5,,,68BOM/PRA,,yes,rxn_61
1709,alanine aminotransferase,2.6.1.2,spectrophotometry,A,L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),CHB_16810 + CHB_16977 = CHB_15361 + CHB_29985,1710,Keq_1710,"{'CHB_16810': -1, 'CHB_15361': 1, 'CHB_29985': 1, 'CHB_16977': -1}",311.15,7.0,0.25,,0.68,,phosphate (0.1 mol dm-3),68BRO,mol/L;IS=0.25;phosphate buffer=0.1,no,rxn_57
1710,triose-phosphate isomerase,5.3.1.1,enzymatic assay,C,D-glyceraldehyde 3-phosphate(aq) = glycerone phosphate(aq),CHB_29052 = CHB_16108,1711,Keq_1711,"{'CHB_29052': -1, 'CHB_16108': 1}",298.15,7.8,,,22.0,,triethanolamine (0.021 mol dm-3),68BUR/WAL,mol/L;triethanolamine-HCl=0.02,no,rxn_65
1711,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,A,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1712,Keq_1712,"{'CHB_4170': -1, 'CHB_61553': 1}",273.3,8.5,0.12,,0.19,,Tris (0.050 mol dm-3) + HCl,68DYS/NOL,mol/L;IS=0.12,no,rxn_28
1712,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,A,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1713,Keq_1713,"{'CHB_4170': -1, 'CHB_61553': 1}",274.9,8.5,0.12,,0.19,,Tris (0.050 mol dm-3) + HCl,68DYS/NOL,mol/L;IS=0.12,no,rxn_28
1713,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,A,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1714,Keq_1714,"{'CHB_4170': -1, 'CHB_61553': 1}",278.2,8.5,0.12,,0.2,,Tris (0.050 mol dm-3) + HCl,68DYS/NOL,mol/L;IS=0.12,no,rxn_28
1714,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,A,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1715,Keq_1715,"{'CHB_4170': -1, 'CHB_61553': 1}",279.3,8.5,0.12,,0.2,,Tris (0.050 mol dm-3) + HCl,68DYS/NOL,mol/L;IS=0.12,no,rxn_28
1715,glucose-6-phosphate isomerase,5.3.1.9,spectrophotometry,A,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),CHB_4170 = CHB_61553,1716,Keq_1716,"{'CHB_4170': -1, 'CHB_61553': 1}",283.4,8.5,0.12,,0.22,,Tris (0.050 mol dm-3) + HCl,68DYS/NOL,mol/L;IS=0.12,no,rxn_28
